수치지도 지형지물 표준코드(안),,,,,,,,,,,,,,,
No,대분류,중분류,소분류(지형지물명),통합코드,수치지도 1.0,,,,,,,,,수치지도 2.0,비고
,,,,,"1:5,000",,,"1:2,500",,,"1:1,000",,,,
,,,,,구조,표현,색상,구조,표현,색상,구조,표현,색상,구조,
165,,,배수장,B0014332,점,,"R/G/B
0/0/255",,,,,,,,
166,,,양배수장,B0014333,점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",,
167,,,취수장,B0014334,점,,"R/G/B
0/0/255",,,,,,,,
168,,,축사,B0014335,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
169,,,종축장,B0014336,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
170,,,도축장,B0014337,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
171,,,정미소,B0014338,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
172,,,정수장,B0014339,점,,"R/G/B
0/0/255",,,,,,,,
173,,,(하수처리)미분류,B0014340,점,,"R/G/B
0/255/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
174,,,하수종말처리장기호,B0014341,점,,"R/G/B
0/255/0",점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",,
175,,,공단폐수처리장기호,B0014342,점,,"R/G/B
0/255/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
176,,,축산폐수처리장기호,B0014343,점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",,
177,,,농공단지오폐수기호,B0014344,점,,"R/G/B
0/255/0",점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",,
178,,,간이오수처리장기호,B0014345,점,,"R/G/B
0/255/0",점,,"R/G/B
165/82/0",점,,"R/G/B
165/82/0",,
179,,,분뇨처리장기호,B0014346,점,,"R/G/B
0/255/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
180,,,"(교육,체육)미분류",B0014410,점,,,,,,,,,,
181,,,학교,B0014411,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
182,,,"유치원, 유아원",B0014412,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
183,,,도서관,B0014413,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
184,,,실내체육관,B0014414,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
185,,,실내수영장,B0014415,점,,"R/G/B
0/0/255",,,,,,,,
186,,,학원,B0014416,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
187,,,기숙사,B0014417,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
188,,,(문화종교)미분류,B0014420,점,,,,,,,,,,
189,,,교회,B0014421,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
190,,,성당,B0014422,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
